RTX PRO 6000 Blackwell Server Edition,42223
GeForce RTX 5090 D,40902
RTX PRO 5000 72GB Blackwell,40493
GeForce RTX 5090,38846
GeForce RTX 4090,38108
RTX PRO 6000 Blackwell Workstation Edition,36434
GeForce RTX 5080,35767
GeForce RTX 4080,34447
GeForce RTX 4080 SUPER,34223
L40-48Q,33270
RTX PRO 4500 Blackwell,32799
L40-4Q,32601
GeForce RTX 5070 Ti,32472
RTX PRO 5000 Blackwell,31958
GeForce RTX 4070 Ti SUPER,31831
RTX PRO 6000 Blackwell Max-Q Workstation Edition,31763
GeForce RTX 4070 Ti,31576
Radeon RX 7900 XTX,31324
GeForce RTX 4090 D,30621
RTX 5000 Ada Generation,30024
GeForce RTX 4070 SUPER,29961
GeForce RTX 5090 D v2,29655
GeForce RTX 3090 Ti,29358
Radeon RX 7900 XT,28968
GeForce RTX 5090 Laptop GPU,28813
GeForce RTX 5070,28810
RTX 6000 Ada Generation,28489
Radeon RX 6950 XT,28097
RTX 4500 Ada Generation,28054
Radeon PRO W7900,27957
Radeon PRO W7800,27503
Radeon AI PRO R9700,27382
nVidia L40,27355
Radeon RX 7900 GRE,27263
GeForce RTX 4090 Laptop GPU,27058
GeForce RTX 4070,26912
Radeon RX 9070 XT,26855
RTX PRO 4000 Blackwell,26825
GeForce RTX 3080 Ti,26807
Radeon RX 6900 XT,26720
GeForce RTX 5080 Laptop GPU,26612
GeForce RTX 3090,26582
GeForce RTX 3080 12GB,26577
Radeon RX 9070,25436
RTX 3500 Ada Generation Embedded GPU,25267
RTX 5880 Ada Generation,25096
GeForce RTX 3080,25047
Radeon RX 6800 XT,24995
GeForce RTX 4080 Laptop GPU,24792
RTX PRO 5000 Blackwell Generation Laptop GPU,24505
Radeon RX 9070 GRE,24418
Radeon RX 7800 XT,24296
RTX 4000 Ada Generation,24039
RTX PRO 4000 Blackwell Generation Laptop GPU,23620
RTX 5000 Ada Generation Laptop GPU,23380
RTX PRO 4000 Blackwell SFF Edition,23365
GeForce RTX 3070 Ti,23290
RTX6000-Ada-6Q,23236
Virtual Desktop Monitor,23070
Radeon PRO W7700,23062
RTX PRO 3000 Blackwell Generation Laptop GPU,22974
RTX A5000,22961
Meta Virtual Monitor,22944
GeForce RTX 5070 Ti Laptop GPU,22941
RTX A6000,22799
GeForce RTX 5060 Ti 16GB,22718
GeForce RTX 4060 Ti 16GB,22696
Radeon RX 7700 XT,22642
GeForce RTX 4060 Ti,22627
GeForce RTX 5060 Ti 8GB,22548
Radeon RX 7900M,22416
SudoMaker Virtual Display Adapter,22377
GeForce RTX 3070,22151
RTX 4000 Ada Generation Laptop GPU,22105
Radeon RX 6800,22043
GRID RTX6000-6Q,21987
NVIDIA A10,21687
Parsec Virtual Display Adapter,21538
GeForce RTX 2080 Ti,21498
RTX A5500,21225
RTX A4500,21137
Radeon 610M Ryzen 7 7840HX,20904
RTX 4000 SFF Ada Generation,20884
GeForce RTX 5060,20785
Radeon RX 6750 XT,20701
Virtual Display Adapter,20532
GeForce RTX 3060 Ti,20297
Radeon PRO W6800,20240
Radeon RX 6750 GRE 12GB,20178
TITAN RTX,20116
TITAN V,20066
Radeon RX 9060 XT 16GB,20030
L40S,20023
Quadro RTX 8000,19911
