cpu_name,passmark_score,passmark_rank,passmark_value
06/5f,5830,2139,
AArch64,833,4576,
AArch64 rev 2 (aarch64),2404,3300,
AArch64 rev 4 (aarch64),1813,3689,
AC8257V/WAB,827,4581,
AC8259V/WAB,956,4437,
Allwinner A133,680,4766,
Allwinner A333,1325,4056,
Allwinner A523,1908,3616,
Allwinner A527,2187,3441,
Allwinner A733,3095,2934,
Allwinner H618,667,4787,
Allwinner h728,1953,3582,
AMD 3015Ce,2099,3490,
AMD 3015e,2618,3168,
AMD 3020e,2399,3302,
AMD 4700S,17641,1041,
AMD A10 Micro-6700T APU,1426,3981,
AMD A10 PRO-7350B APU,1862,3651,
AMD A10 PRO-7800B APU,3310,2831,
AMD A10 PRO-7850B APU,3441,2768,23.25
AMD A10-4600M APU,1947,3588,27.03
AMD A10-4655M APU,1654,3800,
AMD A10-4657M APU,1759,3735,
AMD A10-5700 APU,2753,3096,40.47
AMD A10-5745M APU,1773,3722,
AMD A10-5750M APU,2045,3523,26.21
AMD A10-5757M APU,1994,3561,
AMD A10-5800B APU,3027,2963,67.29
AMD A10-5800K APU,2967,2999,38.02
AMD A10-6700 APU,3114,2922,31.76
AMD A10-6700T APU,2299,3365,26.12
AMD A10-6790B APU,1593,3847,
AMD A10-6790K APU,3112,2925,74.09
AMD A10-6800B APU,3155,2903,24.64
AMD A10-6800K APU,3189,2883,67.44
AMD A10-7300 APU,1739,3747,
AMD A10-7400P,2134,3471,
AMD A10-7700K APU,3183,2888,26.97
AMD A10-7800 APU,3215,2876,107.2
AMD A10-7850K APU,3391,2793,25.12
AMD A10-7860K,3215,2875,60.81
AMD A10-7870K,3511,2746,6.79
AMD A10-7890K,3531,2736,25.93
AMD A10-8700P,2254,3396,
AMD A10-8750,3205,2879,
AMD A10-8850,3438,2770,
AMD A10-9600P,2329,3346,
AMD A10-9620P,2513,3229,
AMD A10-9630P,3041,2958,
AMD A10-9700,3558,2728,22.24
AMD A10-9700E,3250,2859,25.38
AMD A12-9700P,2419,3290,
AMD A12-9720P,2630,3157,
AMD A12-9730P,3005,2978,
AMD A12-9800,3701,2683,67.29
AMD A12-9800E,3416,2781,24.75
AMD A4 Micro-6400T APU,1082,4292,
AMD A4 PRO-3340B,1719,3758,
AMD A4 PRO-7300B APU,1458,3943,
AMD A4 PRO-7350B,1544,3888,
AMD A4-1200 APU,375,5130,
AMD A4-1250 APU,421,5061,
AMD A4-1350 APU,911,4483,
AMD A4-3300 APU,962,4429,16.99
AMD A4-3300M APU,728,4704,24.28
AMD A4-3305M APU,767,4650,36.88
AMD A4-3310MX APU,800,4608,
AMD A4-3320M APU,668,4784,17.12
AMD A4-3330MX APU,761,4661,
AMD A4-3400 APU,1066,4318,13.34
AMD A4-3420 APU,1067,4317,7.84
AMD A4-4000 APU,1155,4216,57.9
AMD A4-4020 APU,1269,4105,12.05
AMD A4-4300M APU,967,4425,32.39
AMD A4-4355M APU,801,4607,
AMD A4-5000 APU,1284,4088,
AMD A4-5050 APU,1328,4051,
AMD A4-5100 APU,1301,4077,
AMD A4-5150M APU,927,4468,
AMD A4-5300 APU,1364,4022,50.61
AMD A4-5300B APU,1246,4128,48.01
AMD A4-6210 APU,1493,3924,
AMD A4-6250J APU,1619,3824,
AMD A4-6300 APU,1435,3970,34.14
AMD A4-6300B APU,1328,4052,47.51
AMD A4-6320 APU,1532,3899,21.88
AMD A4-7210 APU,1667,3793,
AMD A4-7300 APU,1543,3890,83.52
AMD A4-9120,1222,4146,
AMD A4-9120C,885,4512,
AMD A4-9120e,854,4550,
AMD A4-9125,1200,4165,
AMD A6 Micro-6500T APU,1146,4225,
AMD A6 PRO-7050B APU,971,4421,
AMD A6 PRO-7400B,1640,3815,
AMD A6-1450 APU,1062,4323,
AMD A6-3400M APU,1230,4140,50.31
AMD A6-3410MX APU,1274,4101,319.26
AMD A6-3420M APU,1310,4070,
AMD A6-3430MX APU,1389,4007,
AMD A6-3500 APU,1439,3963,23.89
AMD A6-3600 APU,1750,3739,70.12
AMD A6-3620 APU,1877,3641,83.46
AMD A6-3650 APU,2098,3491,16.39
AMD A6-3670 APU,2216,3423,40.32
AMD A6-4400M APU,996,4393,39.9
AMD A6-4455M APU,811,4593,
AMD A6-5200 APU,1659,3796,
AMD A6-5345M APU,1122,4248,
AMD A6-5350M APU,1207,4160,36.45
AMD A6-5357M APU,1219,4151,
AMD A6-5400B APU,1465,3941,50.63
AMD A6-5400K APU,1282,4090,26.16
AMD A6-6310 APU,1671,3785,
AMD A6-6400B APU,1573,3860,
AMD A6-6400K APU,1513,3918,20.17
